County,Total Votes For,Total Votes Against
Alamance,18844,10580
Alexander,9513,1550
Alleghany,2519,708
Anson,3925,1716
Ashe,6254,1851
Avery,4264,1007
Beaufort,8282,3391
Bertie,3445,1267
Bladen,7412,1489
Brunswick,16269,8904
Buncombe,33702,35768
Burke,15309,4451
Cabarrus,25819,11070
Caldwell,15995,3855
Camden,983,430
Carteret,11006,5712
Caswell,3388,1493
Catawba,25984,9025
Chatham,9507,11100
Cherokee,5020,1403
Chowan,2272,760
Clay,1855,646
Cleveland,17799,4406
Columbus,10814,1899
Craven,12336,6812
Cumberland,34398,15071
Currituck,2621,1245
Dare,3698,3785
Davidson,25108,8557
Davie,8760,3274
Duplin,7261,2029
Durham,22359,51591
Edgecombe,8359,3526
Forsyth,41772,37650
Franklin,9515,4872
Gaston,31739,9652
Gates,1761,632
Graham,2313,290
Granville,8341,4022
Greene,3032,1155
Guilford,58520,58448
Halifax,8554,4070
Harnett,14678,4828
Haywood,11228,4319
Henderson,19601,9976
Hertford,3817,1627
Hoke,4366,2344
Hyde,909,509
Iredell,24910,9013
Jackson,5706,3544
Johnston,26341,9455
Jones,1823,737
Lee,8306,3500
Lenoir,8635,3411
Lincoln,15268,4467
Macon,6377,2068
Madison,3822,1605
Martin,4079,1666
McDowell,8352,1726
Mecklenburg,81042,95844
Mitchell,4773,978
Montgomery,4520,1387
Moore,15124,8901
Nash,17014,6811
New Hanover,22051,21853
Northampton,3282,1898
Onslow,14425,5406
Orange,9597,35980
Pamlico,2095,1020
Pasquotank,3456,1879
Pender,6712,3133
Perquimans,1679,894
Person,6703,2553
Pitt,18748,11717
Polk,3226,2048
Randolph,25068,6077
Richmond,7166,2093
Robeson,20740,3311
Rockingham,14745,4802
Rowan,21489,7424
Rutherford,11603,2708
Sampson,10691,2330
Scotland,4728,1721
Stanly,12634,3056
Stokes,8584,2457
Surry,12064,3331
Swain,2136,801
Transylvania,6291,3853
Tyrrell,730,203
Union,29319,10583
Vance,7163,2646
Wake,105886,138960
Warren,2942,1777
Washington,2268,1261
Watauga,7464,7713
Wayne,17302,5570
Wilkes,15541,3189
Wilson,13633,5757
Yadkin,8177,1740
Yancey,4753,1498
