County,Registered Voters,Ballots Cast
Alamance,91204,29725
Alexander,23788,11134
Alleghany,7283,3272
Anson,17139,5730
Ashe,18928,8179
Avery,11730,5333
Beaufort,31752,11766
Bertie,14129,4880
Bladen,22086,9327
Brunswick,79660,25395
Buncombe,179516,69994
Burke,57497,19902
Cabarrus,112531,37180
Caldwell,53404,20083
Camden,7310,1439
Carteret,48924,17886
Caswell,15375,5024
Catawba,101194,35230
Chatham,44266,20776
Cherokee,21694,6500
Chowan,10616,3071
Clay,9002,2527
Cleveland,60674,22403
Columbus,36447,12981
Craven,68779,19357
Cumberland,199272,50140
Currituck,17179,3926
Dare,27423,7571
Davidson,102235,33854
Davie,27332,12207
Duplin,28700,9424
Durham,192270,74653
Edgecombe,38416,12206
Forsyth,233744,80282
Franklin,38408,14592
Gaston,128852,41664
Gates,8150,2476
Graham,6600,2643
Granville,34701,12632
Greene,11097,4259
Guilford,338263,118227
Halifax,35932,12901
Harnett,64072,19719
Haywood,42122,15651
Henderson,77214,29804
Hertford,14443,5718
Hoke,27666,6807
Hyde,3609,1449
Iredell,105936,34310
Jackson,26217,9319
Johnston,102221,36016
Jones,7442,2588
Lee,32977,11946
Lenoir,38142,12374
Lincoln,51050,19906
Macon,24365,8561
Madison,16183,5474
Martin,17242,5833
McDowell,28333,10199
Mecklenburg,628677,178533
Mitchell,11452,5809
Montgomery,16123,5976
Moore,61696,24223
Nash,65911,24162
New Hanover,150254,44391
Northampton,14814,5416
Onslow,90769,20154
Orange,105111,45855
Pamlico,9309,3150
Pasquotank,27649,5448
Pender,34716,9955
Perquimans,9642,2608
Person,25163,9424
Pitt,106894,30850
Polk,14797,5336
Randolph,88366,31342
Richmond,30084,9465
Robeson,71015,24792
Rockingham,58869,19721
Rowan,90835,29141
Rutherford,42741,14422
Sampson,36903,13197
Scotland,22255,6755
Stanly,39291,15850
Stokes,30085,11125
Surry,43687,15508
Swain,9917,2960
Transylvania,23623,10219
Tyrrell,2562,971
Union,129904,40320
Vance,29847,10151
Wake,612919,246956
Warren,13235,4793
Washington,9040,3600
Watauga,41293,15301
Wayne,71092,23234
Wilkes,41607,19045
Wilson,53962,19927
Yadkin,23633,10067
Yancey,14516,6322
